vendor_name,invoice_number,invoice_date,due_date,currency,subtotal,tax,total_amount,payment_terms,line_items_summary,issues,status,needs_approval,source_email,source_subject,source_file,extraction_method,ocr_pages,execution_id,received_at,intake_latency_seconds,day_of_week,processed_at,invoice_uid,source_message_id,retry_of_execution_id,retry_source_row,retry_processed_at
Maple IT Services,MAP-2149,2026-01-19,2026-03-05,CAD,5449.54,708.44,6157.98,Net 45,Purchase of printer paper cases and software licenses totaling 12 items.,Duplicate invoice - already processed,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_c69ff49d.pdf [uid:c69ff49d-ca86-490f-b0bc-696fe7c142c2],inv_c69ff49d.pdf,mistral-document-annotation,1,57,2026-06-27T00:50:44.000Z,239102,Monday,2026-06-29T19:15:45.723Z,c69ff49d-ca86-490f-b0bc-696fe7c142c2,19f068ec4d930df4,,,
Lakeside Logistics,LAK-2148,2026-02-02,2026-02-17,CAD,2605.64,338.73,2649.93,Net 30,"Mixed services and supplies including courier delivery, server maintenance, and printer paper.",Duplicate invoice - already processed; Math check failed: subtotal+tax (2944.37) != total (2649.93),Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_63606811.pdf [uid:63606811-4cb6-40de-adb6-3befa3976c2e],inv_63606811.pdf,mistral-document-annotation,1,57,2026-06-27T00:50:38.000Z,239112,Monday,2026-06-29T19:15:49.827Z,63606811-4cb6-40de-adb6-3befa3976c2e,19f068ea8941ed9f,,,
Maple IT Services,MAP-2147,2026-03-02,2026-04-01,CAD,5978.06,777.15,6755.21,Due on receipt,"Server maintenance, monthly retainer, printer paper, and design revisions billed at CAD rates.",Duplicate invoice - already processed,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_1954154e.pdf [uid:1954154e-e38d-4616-858e-cc1a61a5756c],inv_1954154e.pdf,mistral-document-annotation,1,57,2026-06-27T00:50:32.000Z,239121,Monday,2026-06-29T19:15:53.111Z,1954154e-e38d-4616-858e-cc1a61a5756c,19f068e90e5700fe,,,
Trillium Catering,TRI-2146,2026-04-07,2026-05-07,USD,477.55,62.08,539.63,Net 15,"Catering platters, software licenses, and monthly retainers for a total of 11 line items.",None,Auto-Approved,FALSE,ayodejiyekeen01@gmail.com,Invoice — inv_a2f44547.pdf [uid:a2f44547-94c7-4de3-91a4-a7a5a7027786],inv_a2f44547.pdf,mistral-document-annotation,1,57,2026-06-27T00:50:26.000Z,239130,Monday,2026-06-29T19:15:56.323Z,a2f44547-94c7-4de3-91a4-a7a5a7027786,19f068e7daf8a218,,,
Bluebird Marketing,BLU-2145,2026-03-29,2026-04-13,CAD,5076.55,659.95,5736.5,Net 15,"5 toner cartridges and 5 cleaning services billed at CAD 1,007.31 and CAD 8.00 per unit respectively.",None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_e6138967.pdf [uid:e6138967-e777-45a9-b2b7-ac8634705c61],inv_e6138967.pdf,mistral-document-annotation,1,57,2026-06-27T00:50:21.000Z,239139,Monday,2026-06-29T19:15:59.571Z,e6138967-e777-45a9-b2b7-ac8634705c61,19f068e64de2a1b6,,,
Northstar Office Supply,NOR-2144,2026-05-02,2026-06-01,CAD,715.92,93.07,808.99,Net 15,Purchase of 2 catering platters,Duplicate invoice - already processed,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_1d24bac0.pdf [uid:1d24bac0-9351-40c2-9086-0b9188312f2d],inv_1d24bac0.pdf,mistral-document-annotation,1,57,2026-06-27T00:50:15.000Z,239148,Monday,2026-06-29T19:16:02.752Z,1d24bac0-9351-40c2-9086-0b9188312f2d,19f068e4c88bf28b,,,
Trillium Catering,TRI-2143,2026-05-24,2026-07-08,USD,345.02,44.85,421.06,Net 30,"Software licenses, stationery sets, design revisions, and printer paper purchased.",Math check failed: subtotal+tax (389.87) != total (421.06),Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_4b8a1895.pdf [uid:4b8a1895-764f-44b0-a244-2d5e437a2d5c],inv_4b8a1895.pdf,mistral-document-annotation,1,57,2026-06-27T00:50:09.000Z,239157,Monday,2026-06-29T19:16:06.452Z,4b8a1895-764f-44b0-a244-2d5e437a2d5c,19f068e378e0a278,,,
Maple IT Services,MAP-2142,2026-01-14,2026-02-13,CAD,529.74,68.87,598.61,Net 30,Purchase of 6 cases of printer paper,Duplicate invoice - already processed,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_1470fba7.pdf [uid:1470fba7-0907-4a21-9097-002088b5bdac],inv_1470fba7.pdf,mistral-document-annotation,1,57,2026-06-27T00:50:03.000Z,239167,Monday,2026-06-29T19:16:09.640Z,1470fba7-0907-4a21-9097-002088b5bdac,19f068e1f387961a,,,
QuickPrint Studio,,2026-05-07,2026-06-06,CAD,405.92,52.77,458.69,Net 45,Consulting hours and server maintenance services billed.,Missing invoice number,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_54a0cdff.pdf [uid:54a0cdff-7ed4-4696-8016-94d6fff8f906],inv_54a0cdff.pdf,mistral-document-annotation,1,57,2026-06-27T00:49:57.000Z,239176,Monday,2026-06-29T19:16:13.292Z,54a0cdff-7ed4-4696-8016-94d6fff8f906,19f068e09833debb,,,
Northstar Office Supply,NOR-2140,2026-01-18,2026-02-02,CAD,281.42,36.58,318,Due on receipt,Freight charge and server maintenance services totaling $281.42 before tax.,Duplicate invoice - already processed,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_f8bdfae7.pdf [uid:f8bdfae7-6e76-4097-a3e7-6ae564e38210],inv_f8bdfae7.pdf,mistral-document-annotation,1,57,2026-06-27T00:49:51.000Z,239186,Monday,2026-06-29T19:16:16.502Z,f8bdfae7-6e76-4097-a3e7-6ae564e38210,19f068df45a1cdb8,,,
